# Blue Lias Formation, Southam Quarry, magnetic susceptibility + lithology
# Source: Weedon et al. 2019, PANGAEA https://doi.org/10.1594/PANGAEA.896875 (CC-BY-4.0)
# UK, Hettangian-Sinemurian limestone-marl-shale rhythmite. Real measurements, 2cm spacing.
height_m,magnetic_susceptibility,lithology
21.93,0.0345,Light marl
21.96,0.0370,Light marl
21.99,0.0195,Limestone
22.02,0.0210,Limestone
22.05,0.0380,Light marl
22.08,0.0410,Light marl
22.11,0.0510,Dark marl
22.14,0.0425,Dark marl
22.17,0.0190,Limestone
22.20,0.0355,Dark marl
22.23,0.0410,Dark marl
22.26,0.0395,Dark marl
22.29,0.0155,Limestone
22.32,0.0175,Limestone
22.35,0.0420,Laminated shale
22.38,0.0370,Laminated shale
22.41,0.0465,Laminated shale
22.44,0.0500,Laminated shale
22.47,0.0425,Laminated shale
22.50,0.0450,Laminated shale
22.53,0.0470,Laminated shale
22.56,0.0450,Laminated shale
22.59,0.0445,Laminated shale
22.62,0.0465,Dark marl
22.65,0.0265,Dark marl
22.68,0.0430,Dark marl
22.71,0.0185,Limestone/Dark marl
22.74,0.0140,Limestone
22.77,0.0130,Limestone
22.80,0.0350,Dark marl/Limestone
22.83,0.0430,Dark marl
22.86,0.0445,Light marl
22.89,0.0295,Limestone/Light marl
22.92,0.0165,Limestone
22.95,0.0160,Limestone
22.98,0.0135,Limestone
23.01,0.0175,Limestone
23.04,0.0170,Limestone
23.07,0.0245,Limestone
23.10,0.0410,Light marl
23.13,0.0405,Light marl
23.16,0.0205,Limestone nodule
23.19,0.0155,Limestone nodule
23.22,0.0190,Limestone nodule
23.25,0.0375,Dark marl
23.28,0.0395,Dark marl
23.31,0.0440,Dark marl
23.34,0.0430,Dark marl
23.37,0.0495,Dark marl
23.40,0.0460,Dark marl
23.43,0.0405,Dark marl
23.46,0.0385,Dark marl
23.49,0.0370,Dark marl
23.52,0.0400,Dark marl
23.55,0.0390,Dark marl
23.58,0.0380,Dark marl
23.61,0.0460,Dark marl
23.64,0.0410,Dark marl
23.67,0.0405,Dark marl
23.70,0.0430,Dark marl
23.73,0.0330,Dark marl
23.76,0.0185,Limestone
23.79,0.0225,Limestone
23.82,0.0185,Limestone
23.85,0.0130,Limestone
23.88,0.0140,Limestone
23.91,0.0195,Limestone
23.94,0.0430,Dark marl
23.97,0.0380,Dark marl
24.00,0.0380,Dark marl
24.03,0.0415,Dark marl
24.06,0.0390,Dark marl
24.09,0.0410,Light marl/Dark marl
24.12,0.0345,Light marl
24.15,0.0255,Light marl
24.18,0.0340,Light marl
24.21,0.0340,Light marl
24.24,0.0235,Light marl
24.27,0.0095,Limestone/Light marl
24.30,0.0120,Limestone
24.33,0.0200,Limestone
24.36,0.0385,Light marl
24.39,0.0365,Light marl
24.42,0.0395,Light marl
24.45,0.0375,Light marl
24.48,0.0340,Light marl
24.51,0.0110,Limestone
24.54,0.0140,Limestone
24.57,0.0130,Limestone
24.60,0.0145,Limestone
24.63,0.0300,Light marl
24.66,0.0325,Light marl
24.69,0.0375,Light marl
24.72,0.0120,Limestone nodule
24.75,0.0120,Limestone nodule
24.78,0.0375,Light marl
24.81,0.0375,Light marl
24.84,0.0360,Light marl
24.87,0.0190,Limestone
24.90,0.0135,Limestone
24.93,0.0135,Limestone
24.96,0.0125,Limestone
24.99,0.0135,Limestone
